image_id,user_id,entity_id,provenance,text_polarity,user_credibility,visual_similarity
img00000,u00063,e020,0.887085769528866,0.75,0.8790268711648838,0.5654337406158447
img00001,u00052,e003,0.7372743336713661,0.75,0.9249643095378022,0.5653895735740662
img00002,u00016,e006,0.9299340278665816,0.35,0.9029778502368724,0.5479768514633179
img00003,u00044,e022,0.8336188801128512,0.75,0.8812526635681074,0.5655747652053833
img00004,u00005,e018,0.9344381745927652,0.75,0.9593274333073748,0.5653390288352966
img00005,u00000,e010,0.9364177660430836,0.75,0.8418836263818099,0.5656239986419678
img00006,u00077,e028,0.7098565219835552,0.35,0.9513757622622508,0.5482341647148132
img00007,u00021,e025,0.7579529383605451,0.35,0.8292890551643305,0.547911524772644
img00008,u00060,e000,0.7619367711773184,0.75,0.9108419729885148,0.5656670331954956
img00009,u00051,e019,0.8849831066414617,0.35,0.9277190198542004,0.548332154750824
img00010,u00049,e018,0.565042506389957,0.75,0.6264815802885171,0.5656379461288452
img00011,u00016,e025,0.920524050904446,0.35,0.7951071299880711,0.5482223033905029
img00012,u00060,e005,0.8412132099717893,0.35,0.8400750026094381,0.548271894454956
img00013,u00023,e008,0.7537430446081869,0.75,0.8788364938232494,0.5657034516334534
img00014,u00034,e012,0.6892488742243083,0.35,0.784597023406768,0.5483192801475525
img00015,u00059,e009,0.649979940544644,0.35,0.9366444709552334,0.5480172038078308
img00016,u00075,e003,0.895721569352088,0.75,0.7594891978553424,0.5655699372291565
img00017,u00007,e000,0.8557777134209595,0.75,0.900856870883396,0.5654690861701965
img00018,u00022,e024,0.721407908951814,0.75,0.8162482592809641,0.5655784606933594
img00019,u00039,e019,0.8617942814747628,0.75,0.90463049209179,0.5656181573867798
img00020,u00069,e002,0.7383858009123906,0.75,0.7460680848467119,0.5656214356422424
img00021,u00020,e003,0.7593137702219251,0.75,0.9342176769643592,0.56557297706604
img00022,u00048,e004,0.8950228861661039,0.75,0.825515854865661,0.5653567314147949
img00023,u00036,e000,0.8736479047176884,0.75,0.7578989302839718,0.5658144950866699
img00024,u00060,e027,0.7839896525137505,0.35,0.7822383061068623,0.5483422875404358
img00025,u00030,e007,0.9474577316129028,0.75,0.96390403371726,0.5653189420700073
img00026,u00061,e000,0.8042100598281723,0.35,0.9382957147777718,0.5483038425445557
img00027,u00035,e029,0.604337173511009,0.35,0.8944994963158773,0.5482507944107056
img00028,u00001,e004,0.8440606894544098,0.35,0.4929225291663789,0.5480868816375732
img00029,u00034,e019,0.5064470329970678,0.35,0.783114316303847,0.5483139157295227
img00030,u00026,e017,0.7686643910521509,0.75,0.7091118371047773,0.5656042695045471
img00031,u00079,e010,0.6318620812941292,0.75,0.8708682914941624,0.565613329410553
img00032,u00060,e012,0.955348020827227,0.35,0.6343657689325429,0.5480266809463501
img00033,u00045,e021,0.8229323780422222,0.75,0.424626855321168,0.5657575726509094
img00034,u00071,e018,0.6242424200144131,0.35,0.7746172732376677,0.5482706427574158
img00035,u00071,e012,0.4209353562175115,0.75,0.5669555286442431,0.565619945526123
img00036,u00009,e008,0.7727500032238392,0.75,0.779173784951908,0.5656759738922119
img00037,u00064,e022,0.9017711770789812,0.35,0.7330206421518018,0.5481967926025391
img00038,u00016,e020,0.8703698191999738,0.75,0.7445182507545196,0.5656538605690002
img00039,u00025,e029,0.5153072312096967,0.75,0.7305505705825867,0.5655050277709961
